nom_complet,extension,longueur,score_memorisation,disponibilite,disponibilite_utc,prix_annuel_ht
erpquanta.app,.app,9,9,disponible,2026-02-22T18:08:17Z,13.98
erplume.app,.app,7,8,disponible,2026-02-22T18:08:17Z,13.98
erpvanta.app,.app,8,8,disponible,2026-02-22T18:08:17Z,13.98
erploom.app,.app,7,8,disponible,2026-02-22T18:08:17Z,13.98
erplogiq.app,.app,8,8,disponible,2026-02-22T18:08:17Z,13.98
erpzen.app,.app,6,8,disponible,2026-02-22T18:08:17Z,13.98
erpwise.app,.app,7,7,disponible,2026-02-22T18:08:17Z,13.98
erpstack.app,.app,8,7,disponible,2026-02-22T18:08:17Z,13.98
erpspark.app,.app,8,7,disponible,2026-02-22T18:08:17Z,13.98
erpprime.app,.app,8,7,disponible,2026-02-22T18:08:17Z,13.98
erpnode.app,.app,7,7,disponible,2026-02-22T18:08:17Z,13.98
erpflow.app,.app,7,7,disponible,2026-02-22T18:08:17Z,13.98
